state;action_reward;n_state
222&5|238&4|193&4|544&5|476&4|521&5|478&4|195&5|210&4|483&5|135&5|928&4;70&4|228&5|357&3|479&4|186&3|181&5|184&2|99&4|70&4|228&5;222&5|238&4|193&4|544&5|476&4|521&5|478&4|195&5|210&4|483&5|135&5|928&4|70&4|228&5|357&3|479&4|186&3|181&5|184&2|99&4|70&4|228&5
339&3|294&4|258&4|301&3|307&2|270&4|307&2|269&4|307&2|300&3|313&4|345&3;352&5|937&5|748&5|288&5|347&4|352&5|937&5|352&5|347&4|937&5;339&3|294&4|258&4|301&3|307&2|270&4|307&2|269&4|307&2|300&3|313&4|345&3|352&5|937&5|748&5|288&5|347&4|352&5|937&5|352&5|347&4|937&5
847&3|847&3|93&4|181&4|7&3|181&4|298&3|1067&2|273&1|258&2|473&2|847&3;109&5|302&4|224&2|919&4|9&4|118&2|109&5|127&5|919&4|302&4;847&3|847&3|93&4|181&4|7&3|181&4|298&3|1067&2|273&1|258&2|473&2|847&3|109&5|302&4|224&2|919&4|9&4|118&2|109&5|127&5|919&4|302&4
900&2|611&5|322&2|896&3|793&2|690&3|12&5|654&5|690&3|603&5|89&4|875&1;238&4|238&4|170&5|170&5|42&3|42&3|180&5|238&4|238&4|42&3;900&2|611&5|322&2|896&3|793&2|690&3|12&5|654&5|690&3|603&5|89&4|875&1|238&4|238&4|170&5|170&5|42&3|42&3|180&5|238&4|238&4|42&3
313&5|323&2|323&2|336&2|340&4|340&4|288&4|313&5|879&3|268&5|340&4|286&3;748&3|895&4|678&4|319&4|319&4|678&4|988&3|988&3|988&3|895&4;313&5|323&2|323&2|336&2|340&4|340&4|288&4|313&5|879&3|268&5|340&4|286&3|748&3|895&4|678&4|319&4|319&4|678&4|988&3|988&3|988&3|895&4
151&5|41&5|79&4|582&4|727&3|289&3|729&5|729&5|699&3|132&3|132&3|56&4;127&5|508&4|7&4|421&5|421&5|178&5|216&4|58&3|178&5|508&4;151&5|41&5|79&4|582&4|727&3|289&3|729&5|729&5|699&3|132&3|132&3|56&4|127&5|508&4|7&4|421&5|421&5|178&5|216&4|58&3|178&5|508&4
475&4|408&5|845&1|95&1|1028&1|1028&1|929&2|405&2|546&1|928&1|95&1|676&2;189&4|245&3|1240&5|501&1|625&1|627&1|1240&5|101&1|1240&5|501&1;475&4|408&5|845&1|95&1|1028&1|1028&1|929&2|405&2|546&1|928&1|95&1|676&2|189&4|245&3|1240&5|501&1|625&1|627&1|1240&5|101&1|1240&5|501&1
270&3|252&2|1244&2|116&3|253&3|760&3|137&2|65&2|249&2|678&3|758&1|678&3;11&5|268&5|301&3|187&5|484&4|349&2|11&5|903&2|751&3|751&3;270&3|252&2|1244&2|116&3|253&3|760&3|137&2|65&2|249&2|678&3|758&1|678&3|11&5|268&5|301&3|187&5|484&4|349&2|11&5|903&2|751&3|751&3
117&5|628&4|313&5|100&3|313&5|258&5|596&4|845&4|315&3|628&4|288&5|258&5;816&4|559&5|678&4|816&4|678&4|323&4|5&4|5&4|184&4|773&3;117&5|628&4|313&5|100&3|313&5|258&5|596&4|845&4|315&3|628&4|288&5|258&5|816&4|559&5|678&4|816&4|678&4|323&4|5&4|5&4|184&4|773&3
117&5|471&3|300&3|284&4|934&3|742&5|591&3|129&5|106&5|284&4|628&5|273&5;1079&1|370&4|763&1|763&1|291&3|1028&3|1028&3|370&4|829&3|920&3;117&5|471&3|300&3|284&4|934&3|742&5|591&3|129&5|106&5|284&4|628&5|273&5|1079&1|370&4|763&1|763&1|291&3|1028&3|1028&3|370&4|829&3|920&3
216&5|318&4|286&2|194&4|321&3|174&4|117&2|496&4|268&3|435&4|216&5|479&5;156&3|517&4|501&5|505&4|357&4|501&5|357&4|86&3|208&4|367&2;216&5|318&4|286&2|194&4|321&3|174&4|117&2|496&4|268&3|435&4|216&5|479&5|156&3|517&4|501&5|505&4|357&4|501&5|357&4|86&3|208&4|367&2
938&3|300&4|678&3|258&4|690&5|326&5|242&5|300&4|294&5|319&4|319&4|305&5;260&4|880&4|687&1|327&5|687&1|329&4|327&5|880&4|259&3|881&3;938&3|300&4|678&3|258&4|690&5|326&5|242&5|300&4|294&5|319&4|319&4|305&5|260&4|880&4|687&1|327&5|687&1|329&4|327&5|880&4|259&3|881&3
591&4|181&3|7&3|1&4|591&4|508&4|15&4|1012&4|181&3|321&3|321&3|1012&4;282&3|237&4|109&1|282&3|109&1|546&1|546&1|546&1|282&3|546&1;591&4|181&3|7&3|1&4|591&4|508&4|15&4|1012&4|181&3|321&3|321&3|1012&4|282&3|237&4|109&1|282&3|109&1|546&1|546&1|546&1|282&3|546&1
313&1|882&2|306&4|344&2|889&2|889&2|302&2|305&2|344&2|889&2|344&2|887&3;319&4|315&4|900&4|900&4|319&4|315&4|321&3|900&4|315&4|319&4;313&1|882&2|306&4|344&2|889&2|889&2|302&2|305&2|344&2|889&2|344&2|887&3|319&4|315&4|900&4|900&4|319&4|315&4|321&3|900&4|315&4|319&4
70&5|583&5|244&3|869&1|707&5|185&5|226&4|213&5|258&3|684&4|258&3|531&4;379&5|569&4|217&5|447&4|145&3|559&5|164&5|569&4|200&5|559&5;70&5|583&5|244&3|869&1|707&5|185&5|226&4|213&5|258&3|684&4|258&3|531&4|379&5|569&4|217&5|447&4|145&3|559&5|164&5|569&4|200&5|559&5
259&1|326&3|286&4|286&4|313&5|258&3|346&4|750&3|294&2|301&2|270&3|286&4;338&2|748&3|748&3|271&3|325&1|343&2|748&3|343&2|343&2|323&2;259&1|326&3|286&4|286&4|313&5|258&3|346&4|750&3|294&2|301&2|270&3|286&4|338&2|748&3|748&3|271&3|325&1|343&2|748&3|343&2|343&2|323&2
606&3|194&5|343&3|69&5|252&4|79&5|848&4|744&3|190&3|647&4|9&5|135&5;651&5|380&4|47&4|209&5|72&3|789&4|1286&2|356&5|418&3|210&5;606&3|194&5|343&3|69&5|252&4|79&5|848&4|744&3|190&3|647&4|9&5|135&5|651&5|380&4|47&4|209&5|72&3|789&4|1286&2|356&5|418&3|210&5
237&3|152&4|176&4|674&3|185&5|153&3|195&5|436&3|7&4|134&5|524&4|324&4;660&2|521&5|215&4|404&4|214&4|632&5|186&2|1149&5|403&1|1149&5;237&3|152&4|176&4|674&3|185&5|153&3|195&5|436&3|7&4|134&5|524&4|324&4|660&2|521&5|215&4|404&4|214&4|632&5|186&2|1149&5|403&1|1149&5
528&4|651&4|1065&4|50&4|211&5|345&5|12&4|286&4|511&4|511&4|632&4|1039&2;97&4|742&3|272&5|1358&5|13&5|205&5|1358&5|1358&5|742&3|1358&5;528&4|651&4|1065&4|50&4|211&5|345&5|12&4|286&4|511&4|511&4|632&4|1039&2|97&4|742&3|272&5|1358&5|13&5|205&5|1358&5|1358&5|742&3|1358&5
678&5|688&1|321&3|333&5|334&3|321&3|286&1|875&2|262&1|306&2|937&4|302&3;360&3|337&2|884&1|948&3|948&3|887&1|1393&2|1295&2|885&1|884&1;678&5|688&1|321&3|333&5|334&3|321&3|286&1|875&2|262&1|306&2|937&4|302&3|360&3|337&2|884&1|948&3|948&3|887&1|1393&2|1295&2|885&1|884&1
258&5|616&5|13&1|433&5|269&5|546&4|215&5|631&5|269&5|269&5|38&1|347&1;179&5|1014&3|1014&3|1014&3|906&4|179&5|855&5|179&5|1014&3|223&5;258&5|616&5|13&1|433&5|269&5|546&4|215&5|631&5|269&5|269&5|38&1|347&1|179&5|1014&3|1014&3|1014&3|906&4|179&5|855&5|179&5|1014&3|223&5
300&3|288&3|315&4|302&4|302&4|289&3|302&4|313&3|258&4|321&3|300&3|303&3;245&3|294&3|325&1|294&3|325&1|294&3|294&3|294&3|245&3|245&3;300&3|288&3|315&4|302&4|302&4|289&3|302&4|313&3|258&4|321&3|300&3|303&3|245&3|294&3|325&1|294&3|325&1|294&3|294&3|294&3|245&3|245&3
455&1|273&3|873&3|455&1|301&3|273&3|1&3|301&3|9&4|1&3|327&1|269&5;628&3|1009&4|628&3|109&1|109&1|628&3|117&4|628&3|628&3|628&3;455&1|273&3|873&3|455&1|301&3|273&3|1&3|301&3|9&4|1&3|327&1|269&5|628&3|1009&4|628&3|109&1|109&1|628&3|117&4|628&3|628&3|628&3
100&5|257&5|544&4|291&4|121&4|294&4|293&4|741&5|100&5|546&4|1011&4|282&4;866&4|866&4|472&4|926&4|831&4|125&4|174&5|928&4|928&4|823&4;100&5|257&5|544&4|291&4|121&4|294&4|293&4|741&5|100&5|546&4|1011&4|282&4|866&4|866&4|472&4|926&4|831&4|125&4|174&5|928&4|928&4|823&4
893&3|1022&4|300&3|315&4|307&3|332&3|893&3|259&3|286&3|315&4|880&3|258&3;892&2|682&3|352&1|349&2|682&3|288&3|892&2|352&1|349&2|892&2;893&3|1022&4|300&3|315&4|307&3|332&3|893&3|259&3|286&3|315&4|880&3|258&3|892&2|682&3|352&1|349&2|682&3|288&3|892&2|352&1|349&2|892&2
144&5|51&3|699&3|772&4|69&4|98&5|24&3|5&3|699&3|1051&2|462&4|1014&3;507&5|209&5|44&4|367&4|65&3|603&5|507&5|91&5|65&3|469&4;144&5|51&3|699&3|772&4|69&4|98&5|24&3|5&3|699&3|1051&2|462&4|1014&3|507&5|209&5|44&4|367&4|65&3|603&5|507&5|91&5|65&3|469&4
67&3|410&4|56&5|55&3|184&2|150&4|56&5|188&3|367&2|41&4|447&3|578&2;986&1|229&3|229&3|129&4|229&3|69&3|77&3|156&4|591&3|470&4;67&3|410&4|56&5|55&3|184&2|150&4|56&5|188&3|367&2|41&4|447&3|578&2|986&1|229&3|229&3|129&4|229&3|69&3|77&3|156&4|591&3|470&4
151&4|483&5|597&3|483&5|1084&5|427&5|28&5|111&4|14&4|100&2|275&5|294&4;98&5|560&3|161&4|71&5|213&5|70&4|484&5|95&5|504&4|70&4;151&4|483&5|597&3|483&5|1084&5|427&5|28&5|111&4|14&4|100&2|275&5|294&4|98&5|560&3|161&4|71&5|213&5|70&4|484&5|95&5|504&4|70&4
118&5|596&5|1413&4|24&5|125&5|871&5|826&1|929&1|476&1|1079&1|756&5|172&5;84&4|56&5|56&5|1035&5|1029&5|609&4|82&4|187&4|38&5|559&4;118&5|596&5|1413&4|24&5|125&5|871&5|826&1|929&1|476&1|1079&1|756&5|172&5|84&4|56&5|56&5|1035&5|1029&5|609&4|82&4|187&4|38&5|559&4
241&2|406&1|747&3|153&4|183&5|319&2|12&4|358&3|922&5|45&4|135&4|443&5;122&5|321&3|541&3|417&2|1002&1|150&5|719&4|1105&2|476&1|1054&3;241&2|406&1|747&3|153&4|183&5|319&2|12&4|358&3|922&5|45&4|135&4|443&5|122&5|321&3|541&3|417&2|1002&1|150&5|719&4|1105&2|476&1|1054&3
304&4|302&2|344&1|315&2|362&1|315&2|344&1|895&4|300&3|258&5|258&5|315&2;327&1|327&1|288&5|288&5|288&5|1313&2|327&1|288&5|269&5|269&5;304&4|302&2|344&1|315&2|362&1|315&2|344&1|895&4|300&3|258&5|258&5|315&2|327&1|327&1|288&5|288&5|288&5|1313&2|327&1|288&5|269&5|269&5
845&4|1&4|106&2|240&1|106&2|748&5|9&3|282&5|471&5|866&4|148&5|147&5;284&1|760&1|472&4|370&3|410&2|1199&2|284&1|291&4|925&4|597&2;845&4|1&4|106&2|240&1|106&2|748&5|9&3|282&5|471&5|866&4|148&5|147&5|284&1|760&1|472&4|370&3|410&2|1199&2|284&1|291&4|925&4|597&2
111&3|475&5|116&3|928&4|471&3|1047&3|282&5|591&5|471&3|269&3|1047&3|237&4;1&4|42&4|210&4|79&5|3&4|186&5|432&2|318&5|124&3|210&4;111&3|475&5|116&3|928&4|471&3|1047&3|282&5|591&5|471&3|269&3|1047&3|237&4|1&4|42&4|210&4|79&5|3&4|186&5|432&2|318&5|124&3|210&4
550&3|258&5|77&4|423&4|235&3|520&5|546&3|331&4|162&4|357&4|183&5|229&3;272&5|561&3|1277&3|313&4|903&3|1518&3|1139&1|347&5|399&2|823&3;550&3|258&5|77&4|423&4|235&3|520&5|546&3|331&4|162&4|357&4|183&5|229&3|272&5|561&3|1277&3|313&4|903&3|1518&3|1139&1|347&5|399&2|823&3
9&4|346&3|157&4|48&4|806&3|48&4|317&4|187&5|178&5|651&4|58&4|515&3;661&4|661&4|646&4|772&3|318&4|772&3|661&4|661&4|318&4|11&2;9&4|346&3|157&4|48&4|806&3|48&4|317&4|187&5|178&5|651&4|58&4|515&3|661&4|661&4|646&4|772&3|318&4|772&3|661&4|661&4|318&4|11&2
321&2|188&1|527&4|1011&3|69&3|199&3|604&4|482&4|198&4|14&3|735&5|405&2;204&5|603&4|553&5|50&1|537&4|125&3|144&5|371&3|371&3|684&4;321&2|188&1|527&4|1011&3|69&3|199&3|604&4|482&4|198&4|14&3|735&5|405&2|204&5|603&4|553&5|50&1|537&4|125&3|144&5|371&3|371&3|684&4
751&4|1&4|742&4|50&4|276&3|457&2|1&4|292&5|751&4|292&5|1&4|304&3;300&4|25&4|25&4|237&4|257&4|127&4|257&4|25&4|864&4|300&4;751&4|1&4|742&4|50&4|276&3|457&2|1&4|292&5|751&4|292&5|1&4|304&3|300&4|25&4|25&4|237&4|257&4|127&4|257&4|25&4|864&4|300&4
313&4|286&5|332&3|286&5|310&4|332&3|350&2|270&3|300&4|332&3|313&4|300&4;689&3|294&3|343&2|895&2|689&3|343&2|895&2|895&2|689&3|335&3;313&4|286&5|332&3|286&5|310&4|332&3|350&2|270&3|300&4|332&3|313&4|300&4|689&3|294&3|343&2|895&2|689&3|343&2|895&2|895&2|689&3|335&3
97&3|1045&3|561&2|684&3|22&4|114&3|610&2|286&5|306&4|134&3|134&3|498&4;670&1|502&1|229&3|64&3|744&3|121&3|443&4|416&2|241&2|241&2;97&3|1045&3|561&2|684&3|22&4|114&3|610&2|286&5|306&4|134&3|134&3|498&4|670&1|502&1|229&3|64&3|744&3|121&3|443&4|416&2|241&2|241&2
603&3|185&2|369&1|125&3|479&3|239&5|220&4|104&3|290&4|367&3|71&4|501&3;496&4|8&4|434&3|174&4|568&4|153&4|82&4|176&3|164&3|88&2;603&3|185&2|369&1|125&3|479&3|239&5|220&4|104&3|290&4|367&3|71&4|501&3|496&4|8&4|434&3|174&4|568&4|153&4|82&4|176&3|164&3|88&2
222&4|682&4|258&2|902&4|455&4|902&4|269&4|286&3|319&3|346&4|682&4|538&5;198&5|198&5|216&3|185&3|183&4|198&5|216&3|198&5|168&4|185&3;222&4|682&4|258&2|902&4|455&4|902&4|269&4|286&3|319&3|346&4|682&4|538&5|198&5|198&5|216&3|185&3|183&4|198&5|216&3|198&5|168&4|185&3
286&4|199&5|318&5|527&5|268&5|527&5|515&4|528&5|645&3|527&5|86&4|197&5;423&4|511&4|87&5|735&4|423&4|423&4|179&1|423&4|179&1|87&5;286&4|199&5|318&5|527&5|268&5|527&5|515&4|528&5|645&3|527&5|86&4|197&5|423&4|511&4|87&5|735&4|423&4|423&4|179&1|423&4|179&1|87&5
276&4|1132&3|1281&3|476&5|257&2|282&3|1132&3|846&5|1009&4|763&4|3&5|928&3;288&4|381&4|955&5|1061&4|15&4|293&4|1061&4|15&4|288&4|15&4;276&4|1132&3|1281&3|476&5|257&2|282&3|1132&3|846&5|1009&4|763&4|3&5|928&3|288&4|381&4|955&5|1061&4|15&4|293&4|1061&4|15&4|288&4|15&4
127&5|245&2|385&4|615&3|22&5|172&4|654&2|805&4|588&3|83&3|456&1|491&4;61&1|874&2|52&3|294&2|52&3|945&4|82&3|285&3|684&4|52&3;127&5|245&2|385&4|615&3|22&5|172&4|654&2|805&4|588&3|83&3|456&1|491&4|61&1|874&2|52&3|294&2|52&3|945&4|82&3|285&3|684&4|52&3
215&5|187&4|508&1|273&2|56&2|100&2|187&4|661&4|133&4|127&5|31&4|56&2;419&5|193&4|9&4|9&4|136&4|136&4|136&4|88&4|12&4|136&4;215&5|187&4|508&1|273&2|56&2|100&2|187&4|661&4|133&4|127&5|31&4|56&2|419&5|193&4|9&4|9&4|136&4|136&4|136&4|88&4|12&4|136&4
8&4|499&3|87&3|234&5|591&4|499&3|312&2|83&4|591&4|168&2|479&4|79&4;451&3|739&4|649&3|1046&4|65&3|38&2|864&3|451&3|472&2|742&3;8&4|499&3|87&3|234&5|591&4|499&3|312&2|83&4|591&4|168&2|479&4|79&4|451&3|739&4|649&3|1046&4|65&3|38&2|864&3|451&3|472&2|742&3
232&4|22&5|121&3|401&1|470&5|621&3|291&4|625&3|403&4|465&4|157&3|232&4;484&5|444&2|80&1|620&4|38&3|586&4|578&3|571&3|986&3|449&3;232&4|22&5|121&3|401&1|470&5|621&3|291&4|625&3|403&4|465&4|157&3|232&4|484&5|444&2|80&1|620&4|38&3|586&4|578&3|571&3|986&3|449&3
435&4|181&3|646&3|47&3|479&4|1057&2|226&1|647&5|14&3|76&3|56&4|943&2;715&3|356&3|583&3|1217&1|53&3|849&2|230&2|605&3|27&3|401&1;435&4|181&3|646&3|47&3|479&4|1057&2|226&1|647&5|14&3|76&3|56&4|943&2|715&3|356&3|583&3|1217&1|53&3|849&2|230&2|605&3|27&3|401&1
268&1|307&3|295&2|289&3|294&2|127&3|271&2|1016&2|1016&2|328&3|1&5|333&3;497&5|79&5|204&3|79&5|176&5|228&3|144&5|187&3|228&3|87&4;268&1|307&3|295&2|289&3|294&2|127&3|271&2|1016&2|1016&2|328&3|1&5|333&3|497&5|79&5|204&3|79&5|176&5|228&3|144&5|187&3|228&3|87&4
13&4|9&5|257&4|245&3|270&4|281&3|121&2|7&4|109&4|9&5|515&5|20&4;25&4|1016&4|220&3|220&3|274&4|741&3|280&3|1016&4|471&4|249&3;13&4|9&5|257&4|245&3|270&4|281&3|121&2|7&4|109&4|9&5|515&5|20&4|25&4|1016&4|220&3|220&3|274&4|741&3|280&3|1016&4|471&4|249&3
203&5|310&3|277&3|264&4|282&4|257&5|254&1|331&4|751&4|12&5|147&5|654&5;595&4|3&1|3&1|762&4|477&1|1011&2|235&3|25&2|477&1|546&4;203&5|310&3|277&3|264&4|282&4|257&5|254&1|331&4|751&4|12&5|147&5|654&5|595&4|3&1|3&1|762&4|477&1|1011&2|235&3|25&2|477&1|546&4
443&4|684&3|1283&4|97&4|515&3|98&4|133&4|153&3|250&4|230&4|183&3|89&2;232&4|790&4|797&4|737&2|142&3|43&5|576&4|41&3|53&1|51&4;443&4|684&3|1283&4|97&4|515&3|98&4|133&4|153&3|250&4|230&4|183&3|89&2|232&4|790&4|797&4|737&2|142&3|43&5|576&4|41&3|53&1|51&4
25&4|272&4|125&3|150&5|301&5|258&4|319&4|321&5|271&4|352&1|741&2|268&5;476&4|287&4|846&3|1048&3|476&4|287&4|476&4|846&3|846&3|1048&3;25&4|272&4|125&3|150&5|301&5|258&4|319&4|321&5|271&4|352&1|741&2|268&5|476&4|287&4|846&3|1048&3|476&4|287&4|476&4|846&3|846&3|1048&3
204&1|1&3|135&1|132&4|1265&1|709&4|1639&5|64&4|971&4|498&4|45&4|69&3;1266&4|856&4|289&2|1171&4|1266&4|965&4|443&3|70&3|72&1|70&3;204&1|1&3|135&1|132&4|1265&1|709&4|1639&5|64&4|971&4|498&4|45&4|69&3|1266&4|856&4|289&2|1171&4|1266&4|965&4|443&3|70&3|72&1|70&3
434&5|506&5|71&3|132&3|475&4|525&5|475&4|109&2|469&4|154&3|234&3|650&3;542&2|548&3|107&2|548&3|737&4|1487&3|1230&3|542&2|768&3|554&1;434&5|506&5|71&3|132&3|475&4|525&5|475&4|109&2|469&4|154&3|234&3|650&3|542&2|548&3|107&2|548&3|737&4|1487&3|1230&3|542&2|768&3|554&1
181&3|150&5|64&1|753&5|165&5|509&5|498&4|305&4|12&5|150&5|300&1|187&5;836&5|1065&5|428&5|1192&1|312&2|1192&1|304&1|654&5|512&5|654&5;181&3|150&5|64&1|753&5|165&5|509&5|498&4|305&4|12&5|150&5|300&1|187&5|836&5|1065&5|428&5|1192&1|312&2|1192&1|304&1|654&5|512&5|654&5
177&4|181&4|12&5|500&5|318&5|273&4|705&4|659&4|222&4|692&4|222&4|755&4;568&4|284&5|820&3|542&1|625&3|125&4|732&4|131&4|576&4|418&4;177&4|181&4|12&5|500&5|318&5|273&4|705&4|659&4|222&4|692&4|222&4|755&4|568&4|284&5|820&3|542&1|625&3|125&4|732&4|131&4|576&4|418&4
327&4|588&3|173&5|121&3|708&4|1&4|237&5|22&5|471&4|203&5|294&3|209&5;409&4|479&5|456&3|409&4|108&3|407&3|686&5|746&5|431&5|472&3;327&4|588&3|173&5|121&3|708&4|1&4|237&5|22&5|471&4|203&5|294&3|209&5|409&4|479&5|456&3|409&4|108&3|407&3|686&5|746&5|431&5|472&3
425&1|612&3|428&4|23&3|514&3|697&3|606&3|478&3|612&3|514&3|425&1|478&3;1172&3|580&4|580&4|580&4|1172&3|483&3|183&5|485&3|1172&3|582&4;425&1|612&3|428&4|23&3|514&3|697&3|606&3|478&3|612&3|514&3|425&1|478&3|1172&3|580&4|580&4|580&4|1172&3|483&3|183&5|485&3|1172&3|582&4
60&5|507&4|173&4|325&2|268&3|95&3|1005&5|457&1|457&1|325&2|205&3|95&3;273&3|293&3|246&4|50&5|293&3|919&5|276&5|293&3|50&5|273&3;60&5|507&4|173&4|325&2|268&3|95&3|1005&5|457&1|457&1|325&2|205&3|95&3|273&3|293&3|246&4|50&5|293&3|919&5|276&5|293&3|50&5|273&3
1023&2|117&5|1258&1|471&4|1258&1|1190&5|9&3|245&5|832&3|111&4|1190&5|471&4;255&3|260&2|255&3|272&5|299&3|195&3|918&4|880&1|272&5|880&1;1023&2|117&5|1258&1|471&4|1258&1|1190&5|9&3|245&5|832&3|111&4|1190&5|471&4|255&3|260&2|255&3|272&5|299&3|195&3|918&4|880&1|272&5|880&1
333&4|682&1|288&4|268&2|268&2|310&4|289&2|682&1|268&2|748&4|873&3|682&1;261&5|261&5|261&5|883&5|882&5|261&5|883&5|261&5|261&5|261&5;333&4|682&1|288&4|268&2|268&2|310&4|289&2|682&1|268&2|748&4|873&3|682&1|261&5|261&5|261&5|883&5|882&5|261&5|883&5|261&5|261&5|261&5
28&4|28&4|489&4|58&4|127&5|705&3|513&5|483&5|127&5|423&4|187&3|525&4;603&5|656&4|174&4|64&5|174&4|174&4|185&4|64&5|9&4|191&4;28&4|28&4|489&4|58&4|127&5|705&3|513&5|483&5|127&5|423&4|187&3|525&4|603&5|656&4|174&4|64&5|174&4|174&4|185&4|64&5|9&4|191&4
332&1|332&1|934&1|749&1|274&4|815&1|116&1|875&5|515&5|875&5|270&4|302&5;173&5|256&3|709&3|173&5|256&3|955&5|256&3|421&4|955&5|256&3;332&1|332&1|934&1|749&1|274&4|815&1|116&1|875&5|515&5|875&5|270&4|302&5|173&5|256&3|709&3|173&5|256&3|955&5|256&3|421&4|955&5|256&3
568&3|216&3|780&3|219&3|405&3|226&4|143&1|195&4|780&3|143&1|226&4|79&3;94&2|197&4|8&1|738&1|8&1|496&1|262&4|262&4|249&3|56&3;568&3|216&3|780&3|219&3|405&3|226&4|143&1|195&4|780&3|143&1|226&4|79&3|94&2|197&4|8&1|738&1|8&1|496&1|262&4|262&4|249&3|56&3
737&3|129&4|16&3|357&4|153&3|1199&2|1073&3|367&4|191&4|694&4|16&3|318&3;720&2|651&3|15&3|53&3|252&3|272&3|85&2|810&3|778&4|324&3;737&3|129&4|16&3|357&4|153&3|1199&2|1073&3|367&4|191&4|694&4|16&3|318&3|720&2|651&3|15&3|53&3|252&3|272&3|85&2|810&3|778&4|324&3
877&4|222&4|310&5|924&4|323&5|121&5|255&3|304&3|993&4|405&4|275&4|258&5;846&2|846&2|301&2|301&2|301&2|596&2|846&2|596&2|301&2|243&2;877&4|222&4|310&5|924&4|323&5|121&5|255&3|304&3|993&4|405&4|275&4|258&5|846&2|846&2|301&2|301&2|301&2|596&2|846&2|596&2|301&2|243&2
904&5|904&5|880&3|898&4|315&4|319&3|286&5|904&5|690&4|301&4|690&4|300&3;326&5|326&5|1191&5|261&5|261&5|326&5|261&5|1191&5|886&5|261&5;904&5|904&5|880&3|898&4|315&4|319&3|286&5|904&5|690&4|301&4|690&4|300&3|326&5|326&5|1191&5|261&5|261&5|326&5|261&5|1191&5|886&5|261&5
321&4|340&5|303&4|268&4|340&5|306&4|269&4|322&2|683&3|286&3|286&3|307&4;327&4|327&4|1022&3|995&3|323&2|301&4|323&2|323&2|1022&3|327&4;321&4|340&5|303&4|268&4|340&5|306&4|269&4|322&2|683&3|286&3|286&3|307&4|327&4|327&4|1022&3|995&3|323&2|301&4|323&2|323&2|1022&3|327&4
135&4|71&3|189&4|402&2|603&5|514&4|326&3|847&4|425&4|496&4|357&3|181&4;517&3|227&3|199&4|517&3|48&4|710&3|188&4|710&3|175&5|175&5;135&4|71&3|189&4|402&2|603&5|514&4|326&3|847&4|425&4|496&4|357&3|181&4|517&3|227&3|199&4|517&3|48&4|710&3|188&4|710&3|175&5|175&5
792&5|345&4|192&4|448&2|184&5|286&2|56&5|345&4|208&5|447&5|23&5|448&2;524&3|93&5|4&4|709&5|1474&2|1069&5|186&5|745&5|524&3|186&5;792&5|345&4|192&4|448&2|184&5|286&2|56&5|345&4|208&5|447&5|23&5|448&2|524&3|93&5|4&4|709&5|1474&2|1069&5|186&5|745&5|524&3|186&5
367&4|946&2|7&1|447&4|655&3|655&3|288&5|196&3|946&2|946&2|202&4|946&2;282&3|219&2|403&2|111&3|72&1|340&5|40&1|40&1|616&4|403&2;367&4|946&2|7&1|447&4|655&3|655&3|288&5|196&3|946&2|946&2|202&4|946&2|282&3|219&2|403&2|111&3|72&1|340&5|40&1|40&1|616&4|403&2
52&5|1090&1|603&5|22&2|659&5|433&3|449&2|367&3|230&3|663&4|71&4|356&3;96&3|764&4|317&3|151&4|7&3|705&4|480&5|152&3|151&4|481&5;52&5|1090&1|603&5|22&2|659&5|433&3|449&2|367&3|230&3|663&4|71&4|356&3|96&3|764&4|317&3|151&4|7&3|705&4|480&5|152&3|151&4|481&5
523&3|227&3|523&3|164&4|81&5|12&5|11&4|134&5|150&2|633&4|143&5|402&3;132&5|470&4|510&5|50&5|159&3|210&5|2&4|73&3|845&4|132&5;523&3|227&3|523&3|164&4|81&5|12&5|11&4|134&5|150&2|633&4|143&5|402&3|132&5|470&4|510&5|50&5|159&3|210&5|2&4|73&3|845&4|132&5
301&5|271&4|50&5|360&5|354&5|356&3|357&4|328&3|301&5|356&3|360&5|271&4;11&4|264&3|294&5|264&3|358&2|358&2|11&4|264&3|294&5|294&5;301&5|271&4|50&5|360&5|354&5|356&3|357&4|328&3|301&5|356&3|360&5|271&4|11&4|264&3|294&5|264&3|358&2|358&2|11&4|264&3|294&5|294&5
121&1|410&4|220&2|193&4|200&5|171&5|26&5|651&4|200&5|118&2|509&5|268&5;67&4|959&4|90&4|451&4|1057&4|712&3|155&3|1041&4|566&4|62&2;121&1|410&4|220&2|193&4|200&5|171&5|26&5|651&4|200&5|118&2|509&5|268&5|67&4|959&4|90&4|451&4|1057&4|712&3|155&3|1041&4|566&4|62&2
934&3|179&2|471&4|423&4|385&3|186&4|222&4|195&4|515&3|740&5|79&5|427&5;435&3|2&3|724&5|684&3|732&3|684&3|663&4|403&3|663&4|431&1;934&3|179&2|471&4|423&4|385&3|186&4|222&4|195&4|515&3|740&5|79&5|427&5|435&3|2&3|724&5|684&3|732&3|684&3|663&4|403&3|663&4|431&1
1033&3|15&4|111&3|411&1|1233&5|922&1|332&4|15&4|873&1|7&1|285&3|255&3;931&1|1284&1|685&3|118&1|717&3|934&1|546&1|833&1|1258&1|535&2;1033&3|15&4|111&3|411&1|1233&5|922&1|332&4|15&4|873&1|7&1|285&3|255&3|931&1|1284&1|685&3|118&1|717&3|934&1|546&1|833&1|1258&1|535&2
